Student_ID,Age,Gender,State,Branch,College_Tier,CGPA,Attendance_Percentage,DSA_Problems_Solved,Aptitude_Score,Communication_Score,Projects_Count,Internships_Count,Certifications_Count,Open_Source_Contributions,GitHub_Contributions,LinkedIn_Activity_Score,Hackathons_Participated,Competitive_Programming_Rating,Study_Hours_Per_Week,Soft_Skills_Score,Leadership_Experience,Extracurricular_Activities,Placement_Status,Package_LPA
ST00028,19,Male,Delhi,CSE,Tier-2,6.88,64.21,270,34,22,8,2,5,91,673,11,3,2315,24,38,Yes,1,Placed,6.48
ST00029,20,Female,Tamil Nadu,IT,Tier-3,7.14,81.36,180,35,47,2,1,6,95,436,44,7,1295,25,48,No,1,Not Placed,0
ST00030,22,Male,Kerala,ECE,Tier-1,6.66,69.01,166,18,39,1,1,3,67,678,52,3,656,26,45,Yes,4,Not Placed,0
ST00031,22,Female,Madhya Pradesh,Mechanical,Tier-3,7.93,71.13,163,19,36,6,0,5,72,391,73,2,561,10,44,No,4,Not Placed,0
ST00032,24,Male,Gujarat,ECE,Tier-2,5.98,72.26,92,44,66,2,0,3,24,299,24,1,704,19,60,Yes,4,Not Placed,0
ST00033,20,Male,Gujarat,EEE,Tier-2,6.91,71.41,131,35,48,2,0,1,28,747,7,1,901,14,53,No,2,Placed,5.27
ST00034,21,Male,Telangana,CSE,Tier-3,6.25,57.1,237,40,36,4,0,5,60,1036,41,1,1636,20,49,No,3,Placed,3.07
ST00035,21,Female,Maharashtra,Mechanical,Tier-2,7.23,70.41,95,43,43,4,1,5,52,189,48,2,742,18,33,Yes,2,Not Placed,0
ST00036,20,Male,Assam,CSE,Tier-2,9.08,69.14,283,37,75,2,0,2,117,615,0,3,2120,32,61,No,4,Placed,10.97
ST00037,19,Female,Maharashtra,EEE,Tier-2,7.83,62.59,111,30,68,3,1,5,44,320,1,1,469,19,68,Yes,6,Not Placed,0
ST00038,21,Male,Telangana,Civil,Tier-2,7.7,69.99,191,47,55,1,2,1,53,428,27,1,756,28,51,No,2,Not Placed,0
ST00039,20,Male,Uttar Pradesh,Mechanical,Tier-3,7.6,73.47,147,45,24,3,0,4,68,275,29,2,673,9,41,Yes,5,Not Placed,0
ST00040,22,Female,Punjab,CSE,Tier-1,7.73,65,276,55,35,5,4,3,60,346,0,5,1648,18,48,No,0,Placed,21.97
ST00041,21,Male,Rajasthan,Civil,Tier-3,8.44,77.28,153,35,39,5,0,3,42,274,23,4,964,34,52,Yes,1,Not Placed,0
ST00042,23,Female,Delhi,CSE,Tier-2,8.16,76.53,319,32,50,4,3,2,126,982,27,6,2286,22,52,Yes,1,Placed,11.09
ST00043,22,Male,Maharashtra,CSE,Tier-3,6.24,74.74,175,34,89,3,0,4,125,387,42,1,1083,0,72,No,4,Not Placed,0
ST00044,20,Male,Karnataka,Civil,Tier-2,8.33,75.1,244,62,43,1,3,8,79,356,37,2,948,27,52,Yes,3,Not Placed,0
ST00045,23,Male,Maharashtra,CSE,Tier-1,7.95,80.35,281,62,58,4,0,4,88,974,67,2,2063,16,54,No,0,Placed,22.88
ST00046,22,Female,Chhattisgarh,ECE,Tier-3,7.74,80.27,69,28,45,2,0,3,56,250,5,1,372,24,53,No,2,Placed,5.07
ST00047,21,Male,Maharashtra,Chemical,Tier-1,6.04,58.3,157,32,50,3,1,2,44,479,34,2,760,18,57,No,3,Not Placed,0
ST00048,20,Male,Odisha,AIML,Tier-2,7.5,86.18,262,57,82,5,2,2,151,1111,28,4,1734,37,67,Yes,1,Placed,12.24
ST00049,22,Male,Maharashtra,Mechanical,Tier-3,7.23,81.68,121,47,44,2,1,2,40,460,15,2,905,22,46,No,2,Not Placed,0
ST00050,20,Female,Kerala,EEE,Tier-3,6.76,69.45,71,15,20,1,1,6,24,152,0,0,454,20,28,No,4,Not Placed,0
ST00051,20,Female,Andhra Pradesh,IT,Tier-2,8.41,70.03,220,57,63,4,3,3,67,745,20,2,1948,27,52,Yes,6,Placed,12.31
ST00052,18,Female,Haryana,ECE,Tier-3,5.96,74.96,160,21,56,2,1,1,53,324,11,1,459,10,57,No,2,Placed,3.99
ST00053,22,Male,West Bengal,IT,Tier-3,9.92,76.8,297,59,63,6,1,6,63,536,46,5,2219,19,58,Yes,3,Placed,10.53
ST00054,22,Male,Rajasthan,Civil,Tier-3,6.4,62.9,147,39,44,1,0,3,61,236,4,3,814,6,52,No,2,Not Placed,0
ST00055,22,Female,Rajasthan,Mechanical,Tier-3,7.75,72.27,112,51,29,1,0,7,41,168,41,2,634,14,32,No,6,Not Placed,0
ST00056,22,Female,Tamil Nadu,IT,Tier-1,7.93,83.75,291,42,64,1,1,3,109,570,44,7,1834,16,62,Yes,4,Placed,10.19
ST00057,21,Female,Bihar,Mechanical,Tier-3,8.34,86.93,125,49,50,4,1,3,55,325,15,1,716,9,54,No,0,Not Placed,0
ST00058,21,Female,West Bengal,ECE,Tier-1,9.17,92.37,204,50,54,7,1,6,45,473,29,2,716,21,64,No,3,Placed,8.39
ST00059,20,Female,Karnataka,Mechanical,Tier-2,7.13,71.06,139,40,44,5,1,1,56,266,9,2,744,26,35,No,4,Not Placed,0
ST00060,19,Male,Tamil Nadu,CSE,Tier-2,7.65,73.31,200,59,62,4,3,3,129,655,12,4,1840,27,49,No,3,Placed,11.94
ST00061,22,Male,Andhra Pradesh,IT,Tier-2,7.14,71.71,242,42,44,3,0,3,121,421,53,4,1885,11,50,Yes,5,Placed,8.63
ST00062,21,Female,Kerala,IT,Tier-2,6.68,66.84,190,23,75,4,1,3,255,1274,29,1,1431,19,64,Yes,1,Placed,11.12
ST00063,21,Male,Punjab,EEE,Tier-1,7.78,70.14,192,45,75,3,5,4,42,329,60,1,810,11,67,No,1,Placed,6.74
ST00064,22,Male,Tamil Nadu,AIML,Tier-3,7.33,70.38,220,34,66,6,1,6,59,502,0,3,1336,17,63,No,0,Placed,12.77
ST00065,22,Male,Gujarat,ECE,Tier-3,7.36,86.68,179,50,34,5,0,4,63,286,0,1,1034,6,54,No,2,Placed,2.95
ST00066,21,Male,Maharashtra,Chemical,Tier-2,7.18,66.95,183,47,55,4,1,2,74,495,49,1,599,25,55,No,3,Placed,3.78
ST00067,21,Female,Tamil Nadu,CSE,Tier-3,7.64,75.97,255,47,40,1,1,5,58,1080,1,3,1821,0,34,Yes,1,Not Placed,0
ST00068,20,Female,Haryana,ECE,Tier-3,8.01,79.87,96,26,39,5,0,3,34,325,45,2,710,28,48,No,3,Not Placed,0
ST00069,19,Male,Karnataka,CSE,Tier-2,6.47,85.55,197,37,80,3,2,2,287,1030,91,1,1252,10,71,No,1,Placed,7.98
ST00070,21,Male,Tamil Nadu,EEE,Tier-2,8.02,77.77,215,28,71,1,0,4,48,545,49,2,1054,19,61,No,1,Not Placed,0
ST00071,20,Male,Maharashtra,AIML,Tier-3,8.68,75.82,247,33,52,5,2,4,176,653,25,4,1802,17,45,No,4,Placed,5.71
ST00072,21,Female,Maharashtra,Civil,Tier-2,6.42,63.65,62,31,78,4,0,0,26,369,8,2,321,2,69,No,3,Not Placed,0
ST00073,23,Male,Karnataka,IT,Tier-2,7.63,68.16,178,48,72,9,0,5,61,256,35,6,1432,27,66,Yes,5,Placed,5.25
ST00074,20,Male,Maharashtra,Chemical,Tier-2,7.89,75.16,116,46,47,4,0,0,55,201,37,3,765,16,47,No,4,Not Placed,0
ST00075,19,Male,Telangana,CSE,Tier-3,8.02,73.5,247,36,25,2,1,3,202,1373,10,7,1722,20,39,No,3,Placed,23.28
ST00076,20,Male,Madhya Pradesh,Civil,Tier-2,8.26,76.03,150,45,18,6,2,2,38,432,50,2,837,22,43,No,3,Not Placed,0
ST00077,20,Male,Maharashtra,AIML,Tier-3,8.37,80.86,192,65,31,3,0,2,179,788,32,2,1368,21,31,No,4,Not Placed,0
ST00078,22,Female,Kerala,AIML,Tier-3,7.47,69.31,181,31,71,5,0,5,104,893,15,1,1473,11,63,No,4,Placed,7.99
ST00079,21,Male,West Bengal,Civil,Tier-2,6.65,73.92,247,11,52,1,1,2,64,310,24,2,977,23,54,No,3,Not Placed,0
ST00080,22,Male,Karnataka,IT,Tier-3,7.05,79.82,268,36,60,3,3,2,,864,35,4,1636,17,49,No,1,Placed,7.06
ST00081,22,Male,Tamil Nadu,EEE,Tier-2,8.73,65.14,198,34,61,0,2,1,57,322,28,2,921,25,58,No,2,Placed,4.38
ST00082,21,Male,Karnataka,Mechanical,Tier-3,6.6,72.36,86,38,47,4,0,1,58,228,38,1,544,16,56,No,2,Not Placed,0
ST00083,22,Male,Punjab,IT,Tier-2,7.94,85.46,204,22,46,3,1,4,75,753,51,4,2193,2,38,No,0,Not Placed,0
ST00084,20,Female,Gujarat,CSE,Tier-3,8.07,78.77,213,17,55,4,0,7,100,726,12,6,1700,17,52,No,1,Placed,5.6
ST00085,18,Male,Tamil Nadu,Chemical,Tier-2,8.02,71.28,171,34,84,2,0,4,39,228,56,1,926,29,64,No,1,Placed,3.43
ST00086,19,Female,Maharashtra,EEE,Tier-2,8.29,80.84,105,58,59,2,1,6,62,235,2,1,500,25,53,No,1,Placed,9.87
ST00087,22,Male,Karnataka,Civil,Tier-3,7.32,69.77,410,32,24,3,0,6,87,605,1,0,1561,0,36,No,3,Not Placed,0
ST00088,21,Female,Delhi,Mechanical,Tier-3,7.26,79.43,70,49,20,2,0,2,25,149,42,3,529,37,35,Yes,2,Not Placed,0
ST00089,20,Male,Maharashtra,Mechanical,Tier-3,8.89,81.76,150,48,51,2,0,3,83,276,25,1,1007,19,66,No,4,Not Placed,0
ST00090,21,Male,Andhra Pradesh,EEE,Tier-2,9.18,92.73,220,28,49,2,0,7,60,340,32,1,1184,34,42,Yes,6,Placed,9.94
ST00091,20,Male,Delhi,CSE,Tier-2,8.73,77.21,228,47,34,3,2,10,143,513,5,2,1477,25,29,No,2,Placed,8.91
ST00092,22,Male,Gujarat,Civil,Tier-1,8.22,79.41,182,60,80,0,0,1,48,505,80,0,902,20,65,No,2,Not Placed,0
ST00093,21,Male,Maharashtra,Civil,Tier-1,7.26,70.86,283,42,55,2,1,3,115,503,29,1,1059,18,50,No,1,Placed,11.51
ST00094,21,Female,Telangana,Mechanical,Tier-3,7.47,74.65,152,55,57,1,3,3,46,225,44,2,748,25,47,Yes,4,Not Placed,0
ST00095,20,Male,Telangana,Civil,Tier-3,7.24,67.21,84,40,63,2,0,4,47,260,44,0,601,23,61,Yes,2,Not Placed,0
ST00096,22,Female,Haryana,CSE,Tier-2,8.44,86.26,212,62,33,3,0,5,66,607,45,2,2128,18,43,No,1,Placed,6.01
ST00097,21,Female,Telangana,AIML,Tier-2,7.83,76.73,190,46,53,5,1,7,191,631,44,3,1583,21,45,No,0,Placed,11.01
ST00098,19,Male,Uttar Pradesh,CSE,Tier-1,8.25,76.63,269,23,50,0,1,5,364,1519,10,3,1838,21,56,Yes,6,Placed,20.2
ST00099,19,Female,Maharashtra,EEE,Tier-2,7.47,80.29,128,27,65,3,0,2,33,223,12,0,797,18,62,No,2,Not Placed,0
ST00100,24,Male,Gujarat,ECE,Tier-3,5.23,77.47,83,41,68,4,0,2,61,281,48,2,420,19,63,Yes,3,Not Placed,0
ST00101,23,Male,Delhi,CSE,Tier-2,8.62,93.48,221,37,58,5,1,3,57,420,33,4,1911,31,54,No,0,Placed,13.06
ST00102,22,Male,Gujarat,EEE,Tier-2,7.45,67.92,158,40,60,3,2,1,51,249,34,3,746,16,53,No,2,Placed,7.95
ST00103,20,Female,West Bengal,IT,Tier-2,8.32,81.52,295,49,51,4,0,5,89,449,26,0,2140,1,47,No,2,Placed,13.31
ST00104,24,Male,Kerala,ECE,Tier-1,7.46,80.58,177,38,72,6,0,4,72,337,44,2,775,23,76,No,4,Placed,9.03
ST00105,22,Male,Kerala,AIML,Tier-2,8.88,77.81,213,42,40,7,1,1,300,1352,19,4,1377,17,50,Yes,2,Placed,20.31
ST00106,22,Male,Tamil Nadu,CSE,Tier-1,7.3,68.88,269,45,34,8,3,1,76,537,,1,1992,28,48,No,1,Placed,22.24
ST00107,21,Male,Karnataka,ECE,Tier-2,7.44,82.04,151,39,66,5,0,1,43,298,25,2,654,23,49,Yes,3,Placed,9.75
ST00108,20,Male,Bihar,AIML,Tier-3,7.36,67.19,176,50,56,4,0,4,67,672,26,3,1539,22,47,No,5,Placed,7.61
ST00109,19,Male,Gujarat,IT,Tier-2,6.22,72.79,190,18,69,4,2,4,,813,28,5,1276,14,50,Yes,3,Placed,7.25
ST00110,23,Female,Chhattisgarh,IT,Tier-3,7.7,69.77,230,34,57,4,1,6,77,835,12,3,1802,10,43,No,3,Not Placed,0
ST00111,21,Male,Telangana,Chemical,Tier-1,8.45,77.4,193,68,45,5,2,4,56,331,52,1,794,28,54,No,2,Placed,7.65
ST00112,20,Male,Odisha,CSE,Tier-2,7.86,64.32,185,64,39,8,1,4,134,639,28,3,1022,18,43,No,1,Placed,5.67
ST00113,20,Other,Maharashtra,AIML,Tier-3,9.32,72.6,296,50,64,3,0,4,74,731,29,5,1904,33,52,Yes,4,Placed,9.53
ST00114,21,Female,Delhi,Mechanical,Tier-2,6.74,58.92,106,21,39,2,2,2,77,253,38,4,360,16,52,No,1,Not Placed,0
ST00115,20,Male,Telangana,AIML,Tier-1,6.28,88.8,216,47,60,4,1,7,160,561,29,3,1693,14,44,No,4,Placed,20.02
ST00116,23,Male,Maharashtra,ECE,Tier-2,6.49,60.7,88,64,40,1,0,3,29,835,3,1,729,1,34,No,1,Not Placed,0
ST00117,22,Male,Karnataka,Mechanical,Tier-1,7.82,81.21,182,23,83,4,2,2,82,317,93,4,850,9,74,No,4,Placed,7.22
ST00118,22,Female,Karnataka,CSE,Tier-3,8.37,71.48,211,57,28,5,3,3,198,1257,4,3,1751,18,31,No,3,Placed,36.99
ST00119,21,Male,Maharashtra,Chemical,Tier-1,7.9,58.63,209,50,72,7,5,1,61,541,59,1,696,33,59,Yes,2,Placed,6.16
ST00120,22,Male,Bihar,ECE,Tier-1,7.33,75.31,202,27,49,2,3,1,50,261,15,5,838,27,56,No,1,Placed,9.35
ST00121,21,Male,Odisha,Mechanical,Tier-3,8.62,95.65,233,59,58,4,0,1,58,348,29,1,1024,21,50,No,4,Not Placed,0
ST00122,22,Male,Madhya Pradesh,Chemical,Tier-2,7.4,68.23,81,26,64,1,1,0,46,282,28,6,372,8,45,No,2,Placed,5.65
ST00123,19,Male,Jharkhand,Civil,Tier-2,6.33,83.17,83,28,60,4,3,3,46,299,41,3,440,11,53,No,2,Placed,7.28
ST00124,21,Female,Haryana,AIML,Tier-2,8.35,90.5,218,42,76,4,2,4,131,439,,1,1545,29,64,No,0,Placed,8.5
ST00125,19,Male,Bihar,ECE,Tier-3,7.9,67.75,91,27,79,5,1,5,53,288,66,4,678,17,69,Yes,5,Not Placed,0
ST00126,21,Male,Karnataka,IT,Tier-3,7.55,62.08,209,40,0,2,3,8,54,668,13,3,1849,18,20,No,1,Not Placed,0
ST00127,20,Female,Tamil Nadu,ECE,Tier-3,8.73,72.44,106,32,46,5,2,6,24,326,46,0,658,24,52,Yes,0,Placed,7.12
ST00128,20,Male,Kerala,Mechanical,Tier-2,7.41,81.35,106,33,47,2,1,1,42,287,27,4,550,19,55,No,0,Not Placed,0
ST00129,19,Male,Telangana,IT,Tier-2,7.74,60.64,230,59,69,2,1,2,52,1122,20,3,1993,21,70,No,4,Placed,10.37
ST00130,21,Male,Gujarat,ECE,Tier-3,6.52,74.33,218,45,65,3,0,2,51,504,24,3,1022,13,58,No,3,Placed,9.52
ST00131,20,Female,Andhra Pradesh,EEE,Tier-3,6.75,72.29,53,44,26,5,1,5,19,126,4,3,548,16,30,No,0,Not Placed,0
ST00132,24,Male,Tamil Nadu,AIML,Tier-2,7.1,68.11,177,51,55,2,0,6,39,319,53,5,1409,32,45,Yes,6,Placed,7.58
ST00133,21,Female,Tamil Nadu,EEE,Tier-2,8.09,72.43,154,63,44,4,1,4,40,450,16,1,798,10,40,No,2,Placed,7.13
ST00134,20,Male,Rajasthan,CSE,Tier-2,6.93,70.89,202,15,63,2,3,6,53,1198,54,6,1398,12,54,No,1,Placed,13.57
ST00135,21,Male,Andhra Pradesh,EEE,Tier-1,7.67,75.16,273,45,80,1,0,4,65,367,52,2,907,28,57,Yes,2,Placed,6.04
ST00136,18,Male,Tamil Nadu,CSE,Tier-2,7.31,84.88,236,26,39,0,2,3,,644,28,1,1465,23,51,No,3,Placed,6.76
ST00137,24,Male,Delhi,Mechanical,Tier-3,7.31,70.47,82,30,49,1,0,1,86,406,40,0,414,6,45,No,0,Not Placed,0
ST00138,21,Male,Uttar Pradesh,CSE,Tier-3,6.7,70.77,201,19,34,4,1,9,103,472,0,4,2034,19,43,No,1,Not Placed,0
ST00139,22,Female,Telangana,EEE,Tier-1,7.57,78.57,199,68,39,4,2,7,101,605,55,2,1312,17,47,Yes,2,Placed,11.73
ST00140,19,Male,West Bengal,EEE,Tier-2,6.52,63.93,150,10,73,3,1,4,128,513,,3,722,14,60,No,1,Not Placed,0
ST00141,21,Male,Telangana,ECE,Tier-1,7.72,85.94,296,43,79,4,3,1,67,612,55,4,1081,16,59,No,5,Placed,20.84
ST00142,21,Female,Bihar,EEE,Tier-2,7.48,68.09,121,62,40,3,2,1,35,362,42,2,845,11,40,No,0,Not Placed,0
ST00143,24,Male,Telangana,Civil,Tier-2,7.56,77.49,140,39,72,2,1,5,77,690,25,1,952,13,59,No,2,Placed,10.11
ST00144,21,Male,Odisha,CSE,Tier-1,8.23,74.47,294,10,45,4,2,4,89,966,22,4,2204,8,54,Yes,2,Placed,20.8
ST00145,21,Male,Haryana,Mechanical,Tier-3,8.89,78.47,96,77,61,4,3,4,39,216,38,2,677,26,48,Yes,3,Placed,2.81
ST00146,20,Male,Madhya Pradesh,IT,Tier-3,5.94,83.01,195,57,34,5,2,1,60,1232,22,3,1809,1,45,No,2,Not Placed,0
ST00147,20,Female,Rajasthan,Mechanical,Tier-3,7.03,74.34,56,24,49,4,1,0,,255,48,0,694,15,49,No,3,Not Placed,0
ST00148,21,Female,Delhi,Civil,Tier-3,6.57,66.13,63,49,47,4,3,2,18,301,26,1,571,9,61,No,4,Not Placed,0
ST00149,21,Male,Andhra Pradesh,EEE,Tier-3,7.61,67.86,64,45,12,1,0,2,29,260,21,1,319,29,26,No,3,Not Placed,0
ST00150,18,Female,Andhra Pradesh,CSE,Tier-3,7.95,84.29,213,25,44,5,0,3,87,634,47,2,1784,4,39,No,3,Not Placed,0
ST00151,23,Male,Karnataka,IT,Tier-3,6.32,73.35,279,47,47,2,1,2,78,771,17,3,1908,14,51,No,1,Not Placed,0
ST00152,23,Other,Karnataka,ECE,Tier-2,7.77,71.31,133,35,38,3,2,4,38,264,5,2,709,6,30,No,2,Placed,8.72
ST00153,20,Female,Maharashtra,CSE,Tier-2,8.24,84.06,205,46,47,3,2,10,149,680,59,3,1831,24,47,No,0,Placed,6.85
ST00154,21,Male,Rajasthan,EEE,Tier-2,7.86,69.4,117,51,71,1,2,4,51,296,0,3,658,20,52,No,2,Placed,2.33
ST00155,19,Male,Maharashtra,Mechanical,Tier-3,7.06,66.46,81,44,48,1,1,1,32,423,7,2,560,14,51,No,1,Not Placed,0
ST00156,22,Female,Delhi,Mechanical,Tier-1,8.32,75.61,173,52,55,1,1,4,70,551,25,1,1067,21,49,Yes,1,Placed,7.84
ST00157,20,Male,Karnataka,CSE,Tier-2,7.28,71.19,235,24,35,5,0,4,124,678,39,3,1885,10,33,Yes,2,Placed,12.75
ST00158,22,Male,Maharashtra,Mechanical,Tier-3,8.12,63.66,77,8,37,2,3,3,60,267,21,3,563,34,43,No,2,Not Placed,0
ST00159,22,Male,Andhra Pradesh,IT,Tier-1,8.05,72.14,248,34,61,5,2,2,182,873,47,1,1912,19,56,Yes,4,Placed,22.03
ST00160,22,Male,Kerala,AIML,Tier-2,7.34,77.4,259,51,50,3,0,3,107,1002,52,1,1796,12,42,No,1,Not Placed,0
ST00161,19,Male,Tamil Nadu,ECE,Tier-3,6.28,67.4,136,17,34,1,0,5,56,254,41,1,689,13,38,Yes,3,Placed,5.69
ST00162,23,Male,Madhya Pradesh,EEE,Tier-2,7.51,73.77,171,39,44,5,0,5,67,290,25,2,634,19,49,Yes,1,Placed,6.1
ST00163,20,Female,Maharashtra,ECE,Tier-1,6.84,64.71,164,40,49,8,0,1,58,283,34,2,1138,13,54,Yes,0,Placed,7.37
ST00164,19,Male,Telangana,Civil,Tier-3,6.43,72.53,66,32,71,2,0,0,18,137,51,5,691,14,57,Yes,3,Not Placed,0
ST00165,21,Male,Karnataka,CSE,Tier-3,7.05,76,242,55,69,5,0,7,131,644,25,3,2262,26,63,Yes,2,Placed,11.49
ST00166,21,Male,Tamil Nadu,IT,Tier-2,7.44,83.62,294,32,55,3,1,5,145,1159,29,1,2041,26,59,No,1,Placed,20.05
ST00167,23,Male,Maharashtra,AIML,Tier-2,6.48,68.48,188,32,62,4,1,3,100,691,35,3,1394,8,59,No,2,Placed,6.43
ST00168,22,Male,Maharashtra,CSE,Tier-2,7.36,71.72,185,42,77,4,3,2,270,878,32,4,1595,17,68,Yes,1,Placed,21.97
ST00169,20,Male,Gujarat,IT,Tier-2,7.3,77.79,228,41,69,4,0,3,64,1128,48,1,1923,10,75,Yes,6,Placed,11.85
ST00170,24,Female,West Bengal,Mechanical,Tier-3,6.84,70.81,193,16,37,3,1,1,61,592,31,2,782,16,33,No,0,Not Placed,0
ST00171,20,Male,Karnataka,ECE,Tier-3,7.13,77.23,120,57,54,1,1,2,36,282,27,1,703,19,46,No,4,Not Placed,0
ST00172,21,Female,Madhya Pradesh,IT,Tier-3,7.9,80.38,212,56,44,2,1,2,94,881,45,5,1508,24,44,No,3,Placed,7.67
ST00173,20,Male,Gujarat,ECE,Tier-2,7.17,65.46,196,26,68,4,0,2,90,418,29,1,758,15,63,No,3,Not Placed,0
ST00174,24,Female,Tamil Nadu,IT,Tier-3,7.84,67.28,213,49,14,3,0,4,76,709,14,0,1912,3,30,Yes,5,Not Placed,0
ST00175,20,Male,Uttar Pradesh,CSE,Tier-3,7.28,69.23,256,34,7,4,1,5,85,715,8,2,1879,2,22,No,1,Not Placed,0
ST00176,19,Female,Tamil Nadu,EEE,Tier-2,8.37,64.71,155,57,61,3,1,5,58,339,46,1,756,26,70,No,3,Placed,6.95
ST00177,21,Male,Haryana,Mechanical,Tier-3,8.04,88.72,99,63,52,3,0,4,24,186,4,0,387,30,61,No,1,Not Placed,0
ST00178,25,Male,Telangana,Mechanical,Tier-2,7.32,64.5,101,18,63,5,0,4,27,258,,2,623,13,64,No,1,Not Placed,0
ST00179,23,Male,Karnataka,AIML,Tier-3,6.77,79.75,191,59,36,2,0,4,242,971,22,3,1570,12,43,No,0,Placed,7.23
ST00180,22,Male,Karnataka,ECE,Tier-3,7.76,67.63,98,63,27,2,1,3,32,266,32,1,684,21,39,Yes,5,Placed,7.6
ST00181,23,Male,Tamil Nadu,ECE,Tier-1,7.3,80.92,178,26,55,1,1,3,79,587,8,1,737,7,49,No,0,Placed,11.37
ST00182,23,Female,Uttar Pradesh,Mechanical,Tier-3,6.02,77.54,66,0,22,2,0,2,46,243,23,1,305,7,47,Yes,3,Not Placed,0
ST00183,21,Female,Delhi,CSE,Tier-2,8.13,63.86,230,44,38,2,1,9,62,572,25,2,1670,28,40,No,7,Placed,5.07
